sample	nref	nalt	tref	talt	normal_ratio	tumor_ratio	index
TCGA-E2-A1B0	33	34	519	6	0.507462686567164	0.0114285714285714	1
TCGA-A8-A09I	67	74	1700	42	0.524822695035461	0.0241102181400689	2
TCGA-BH-A0AW	27	33	362	11	0.55	0.0294906166219839	3
TCGA-E2-A14V	47	38	985	36	0.447058823529412	0.0352595494613124	4
TCGA-AN-A0FT	80	78	1027	59	0.493670886075949	0.0543278084714549	5
TCGA-AO-A12D	39	44	359	23	0.530120481927711	0.0602094240837696	6
TCGA-A2-A0YG	15	21	677	45	0.583333333333333	0.0623268698060942	7
TCGA-A8-A07I	24	16	188	14	0.4	0.0693069306930693	8
TCGA-A2-A04W	39	45	168	18	0.535714285714286	0.0967741935483871	9
TCGA-AQ-A04H	37	30	105	71	0.447761194029851	0.403409090909091	10
TCGA-E9-A22D	23	20	16	77	0.465116279069767	0.827956989247312	11
TCGA-BH-A0B7	21	17	65	523	0.447368421052632	0.889455782312925	12
TCGA-BH-A0HY	17	24	25	214	0.585365853658537	0.895397489539749	13
TCGA-A2-A0EY	81	57	45	421	0.41304347826087	0.90343347639485	14
TCGA-BH-A0EE	45	63	43	422	0.583333333333333	0.90752688172043	15
TCGA-AQ-A0Y5	12	15	13	177	0.555555555555556	0.931578947368421	16
TCGA-A8-A08B	22	18	18	343	0.45	0.950138504155125	17
TCGA-B6-A1KF	24	25	12	518	0.510204081632653	0.977358490566038	18
TCGA-AN-A04C	47	39	6	892	0.453488372093023	0.993318485523385	19
